,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Mitologia grecka,Mitologia grecka,,,['9810676077405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q34726,давньогрецька міфологія,griechische Mythologie,mythologie grecque,Greek mythology,mitologia grecka,Q34726,sh85089396,,"['Mitologia', 'Amazonki (postacie mitologiczne)', 'Ambrozja (mitologia)', 'Centaury (postacie mitologiczne)', 'Cerber (zwierzę mitologiczne)', 'Chaos (mitologia grecka)', 'Charyty (bóstwa)', 'Chimera (potwór mitologiczny)', 'Cyklopi (postacie mitologiczne)', 'Cynocefal (postać mitologiczna)', 'Danaidy (postacie mitologiczne)', 'Erynie (boginie)', 'Gigantomachia', 'Gorgony (potwory mitologiczne)', 'Herosi (postacie mitologiczne)', 'Hydra lernejska (potwór mitologiczny)', 'Kabirowie (bóstwa)', 'Koń trojański (mitologia grecka)', 'Muzy (postacie mitologiczne)', 'Najady (postacie mitologiczne)', 'Nektar (mitologia)', 'Nereidy (postacie mitologiczne)', 'Nimfy (postacie mitologiczne)', 'Niobidzi (postacie mitologiczne)', 'Pegaz (zwierzę mitologiczne)', 'Pyton (zwierzę mitologiczne)', 'Sąd parysa', 'Sfinks (zwierzę mitologiczne)', 'Sybille', 'Wojna siedmiu przeciw Tebom', 'Wojna trojańska', 'Złote runo', 'Złoty wiek (mitologia)']",,,,,,,
Mitologia hetycka,Mitologia hetycka,,"['Hetyci', 'Religia hetycka']",['9810676077505606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1142277,хеттська міфологія,Hethitische Mythologie,mythologie hittite,Hittite mythology,mitologia hetycka,Q1142277,,,,,,,,,,
Mitologia Indian,Mitologia Indian,['Indian mythology'],,['9810676077605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Indianie', 'Kaczyni', 'Wendigo (stworzenie fantastyczne)']","['Mitologia aztecka', 'Mitologia inkaska', 'Mitologia inuicka', 'Mitologia Majów', 'Mitologia Winebagów', 'Mitologia zapotecka']",,,,,,
Mitologia indonezyjska,Mitologia indonezyjska,,,['9810676077705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja']",,,,,,,
Mitologia indyjska,Mitologia indyjska,,,['9810676077805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q3396431,,Liste der Gestalten der indischen Mythologie,,list of Hindu deities,Lista postaci z mitologii indyjskiej,Q3396431,,,"['Mitologia', 'Asury (stworzenia fantastyczne)', 'Rakszasowie (stworzenia fantastyczne)', 'Wojna Kurukszetra']",,,,,,,
Mitologia jakucka,Mitologia jakucka,,,['9810676077905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia ludów Syberii'],,,,,,,
Mitologia japońska,Mitologia japońska,,,['9810676078005606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q814158,Японська міфологія,japanische Mythologie,mythologie japonaise,Japanese mythology,Mitologia japońska,Q814158,sh85089404,,"['Mitologia dalekowschodnia', 'Shinigami', 'Yōkai']",['Shinto'],,,,,,
Mitologia Jorubów,Mitologia Jorubów,,,['9810676078105606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia afrykańska', 'Candomblé', 'Jorubowie', 'Kult Szango', 'Orisza', 'Umbanda']",,,,,,,
Mitologia koreańska,Mitologia koreańska,,,['9810676078205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia dalekowschodnia'],,,,,,,
Mitologia litewska,Mitologia litewska,,,['9810676078305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1640577,Литовська міфологія,litauische Mythologie,mythologie lituanienne,Lithuanian mythology,Mitologia litewska,Q1640577,,,['Mitologia Bałtów'],,,,,,,
Mitologia Melanezji,Mitologia Melanezji,['Mitologia Fidżi'],,['9810676078405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],,,,,,,
Mitologia mongolska,Mitologia mongolska,"['Mythology, Mongolian']",,['9810676078505606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja', 'Ludy mongolskie']",,,,,,,
Mitologia osetyjska,Mitologia osetyjska,,,['9810676078605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia'],,,,,,,
Mitologia perska,Mitologia perska,,,['9810676078705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1130378,іранська міфологія,iranische Mythologie,mythologie persane,Persian mythology,Mitologia perska,Q1130378,,,['Mitologia'],,,,,,,
Mitologia Polinezji,Mitologia Polinezji,,,['9810676078805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia Oceanii'],['Mitologia hawajska'],,,,,,
Mitologia rzymska,Mitologia rzymska,,,['9810676078905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q122173,Римська міфологія,römische Mythologie,mythologie romaine,Roman mythology,mitologia rzymska,Q122173,sh85089423,,"['Mitologia', 'Caritas Romana', 'Genius loci (postać mitologiczna)', 'Mitologia galijska', 'Nimfy (postacie mitologiczne)', 'Porwanie Sabinek', 'Religia starożytnego Rzymu', 'Sybille', 'Złoty wiek (mitologia)']",,,,,,,
Mitologia skandynawska,Mitologia skandynawska,['Mitologia wikingów'],,['9810676079005606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q128285,скандинавська міфологія,nordische Mythologie,mythologie nordique,Norse mythology,mitologia nordycka,Q128285,sh85089413,20461,"['Mitologia Germanów', 'Ásatrú', 'Berserkowie', 'Ondyny', 'Trolle', 'Walhalla (kraina mitologiczna)', 'Walkirie (postacie mitologiczne)']",,,,,,,
Mitologia słowiańska,Mitologia słowiańska,"['Mitologia Słowian', 'Slavic mythology']",,['9810676079205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q201571,слов'янська міфологія,Slawische Mythologie,mythologie slave,Slavic mythology,mitologia Słowian,Q201571,,,"['Mitologia', 'Gumienniki (stworzenia fantastyczne)', 'Płanetnicy (stworzenia fantastyczne)', 'Polewiki (stworzenia fantastyczne)', 'Południce (stworzenia fantastyczne)', 'Przebudzenie Bogów (gra fabularna)', 'Religia Słowian', 'Rusałki', 'Słowianie', 'Strzygi (stworzenia fantastyczne)', 'Utopce (stworzenia fantastyczne)', 'Wodniki (stworzenia fantastyczne)', 'Zmory (stworzenia fantastyczne)']",,,,,,,
Mitologia sumeryjska,Mitologia sumeryjska,,,['9810676079305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q275051,Шумеро-аккадська міфологія,Sumerische Religion,religion sumérienne,Sumerian religion,Mitologia sumeryjska,Q275051,sh85089430,,"['Mitologia', 'Gallu (stworzenia fantastyczne)', 'Sumerowie', 'Utukku (stworzenia fantastyczne)']",,,,,,,
Mitologia tracka,Mitologia tracka,"['Mythology, Thracian']",,['9810676079405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Europa', 'Trakowie']",['Mitologia Daków'],,,,,,
Mitologia ugarycka,Mitologia ugarycka,,,['9810676079505606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q970026,угаритська міфологія,Ugaritische Religion,Religion ougaritique,Ugaritic religion,Mitologia ugarycka,Q970026,,,"['Mitologia', 'Kananejczycy', 'Religia ugarycka', 'Ugaryci']",,,,,,,
Mitologia Ugrofinów,Mitologia Ugrofinów,"['Mitologia ugrofińska', 'Mythology, Finno-Ugrian']",,['9810676079605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Europa', 'Ugrofinowie']","['Mitologia estońska', 'Mitologia fińska', 'Mitologia Komi', 'Mitologia liwska', 'Mitologia węgierska']",,,,,,
Mitologia węgierska,Mitologia węgierska,,,['9810676079705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q919887,,,mythologie magyare,Hungarian mythology,Mitologia węgierska,Q919887,,,['Mitologia Ugrofinów'],,,,,,,
Modernizm,Modernizm,,"['Kultura', 'Prądy i kierunki literackie', 'Style i kierunki artystyczne', 'Style architektoniczne', 'Secesja (styl w sztuce)', 'Symbolizm', 'Neomodernizm', 'Nowoczesność']",['9810553849805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q2426218,Модернізм у музиці,literarische Moderne,Musique moderne,modernism in music,modernizm w muzyce,Q2426218,sh2004014988,5001,,['Młoda Polska'],,,,,,
Slawistyka,Slawistyka,['Filologia słowiańska'],,['9810676081205606'],Literaturoznawstwo Językoznawstwo,"['Literaturoznawstwo', 'J']",Literaturoznawstwo,http://www.wikidata.org/entity/Q156864,слов'янознавство,Slawistik,slavistique,Slavic studies,slawistyka,Q156864,sh85123379,22807,"['Filologia', 'Języki słowiańskie', 'Kitabistyka', 'Słowianie']","['Bułgarystyka', 'Filologia białoruska', 'Filologia chorwacka', 'Filologia czeska', 'Filologia kaszubska', 'Filologia łużycka', 'Filologia polska', 'Filologia rosyjska', 'Filologia serbska', 'Filologia serbsko-chorwacka', 'Filologia słowacka', 'Filologia słoweńska', 'Filologia ukraińska']",,,,,,
Stenografia,Stenografia,"['Pismo stenograficzne', 'Shorthand']",,['9810546510705606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q181066,стенографія,Stenografie,sténographie,shorthand,stenografia,Q181066,sh85122023,19252,"['Pismo', 'Pisownia', 'Stenografowie', 'Tachygrafia', 'Zapisywanie symultaniczne']",,,,,,,
Strukturalizm,Strukturalizm,,,['9810545826105606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q2466334,структурна лінгвістика,,linguistique structurale,structural linguistics,strukturalizm,Q2466334,sh85129205,,"['Teoria literatury', 'Metodologia', 'Mit', 'Poststrukturalizm', 'Rosyjska szkoła formalna', 'Strukturalizm genetyczny']",['Antropologia strukturalna'],,,,,,
Stylistyka,Stylistyka,"['Styl językowy', 'Literatura - język', 'Literatura - stylistyka']",,['9810545827405606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q28856,стилістика,Stilistik,stylistique,stylistics,stylistyka,Q28856,sh85074540,26297,"['Poetyka', 'Aliteracja', 'Aluzja literacka', 'Amplificatio', 'Anafora (figura stylistyczna)', 'Anagram', 'Analiza dyskursu', 'Antymetabola', 'Aposiopesis', 'Apostrofa', 'Asyndeton', 'Biolekt', 'Błędy stylistyczne', 'Chwyt (literaturoznawstwo)', 'Elipsa (figura stylistyczna)', 'Emfaza', 'Epitet', 'Eufemizmy', 'Gra słów', 'Hiperbola (figura stylistyczna)', 'Idiolekt', 'Ironia', 'Język poetycki', 'Kompozycja (literatura)', 'Koncept (literatura)', 'Lingwistyka tekstu', 'Litota', 'Metafora', 'Metalepsja', 'Metonimia', 'Oksymoron', 'Onomatopeja', 'Paronomazja', 'Peryfraza', 'Pleonazmy', 'Porównanie (literatura)', 'Powtórzenie (literatura)', 'Prozopopeja', 'Styl (językoznawstwo)', 'Styl urzędowo-kancelaryjny', 'Stylizacja językowa', 'Synekdocha', 'Sztuka pisania']",['Stylometria'],,,,,,
Symbolizm,Symbolizm,,,['9810621831905606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q164800,Символізм,Symbolismus,symbolisme,Symbolism,Symbolizm,Q164800,sh85131409,10504,"['Style i kierunki artystyczne', 'Modernizm']",,,,,,,
Sentymentalizm,Sentymentalizm,,,['9810584695105606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q754602,Сентименталізм,Empfindsamkeit,Empfindsamkeit,Sentimentalism,Sentymentalizm,Q754602,,,['Style i kierunki artystyczne'],,,,,,,
Tekst,Tekst,,"['Anafora (językoznawstwo)', 'Dyskurs', 'Intertekstualność', 'Korpus językowy', 'Krytyka tekstu', 'Lingwistyka tekstu', 'Przekłady', 'Przypisy', 'Semantyka lingwistyczna', 'Spójność (językoznawstwo)', 'Tekstologia', 'Text mining']",['9810553564105606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q234460,текст,Text,texte,text,tekst,Q234460,,16697,,"['Tekst prawny', 'Tekst precedensowy']",,,,,,
Tekstologia,Tekstologia,,,['9810553564805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q15473066,,,,textual scholarship,tekstologia,Q15473066,,13523,"['Filologia', 'Edytorstwo', 'Krytyka genetyczna', 'Tekst', 'Teoria przekładu']",['Krytyka tekstu'],,,,,,
Temat,Temat,,"['Filozofia', 'Kompozycja (literatura)']",['9810619123305606'],Filozofia i etyka Językoznawstwo Literaturoznawstwo,"['Filozofia i etyka', 'J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1053916,тема,Thema,thème littéraire,theme,temat,Q1053916,sh85077545,3405,,,,,,,,
Tragizm,Tragizm,,"['Estetyka', 'Etyka', 'Katharsis']",['9810535014805606'],Filozofia i etyka Literaturoznawstwo,"['Filozofia i etyka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q9360692,Трагізм,,,,Tragizm,Q9360692,,,,,,,,,,
Transkrypcja i transliteracja,Transkrypcja i transliteracja,"['Transliteracja', 'Transcription', 'Transliteration']","['Opis bibliograficzny', 'Pismo', 'Pisownia', 'Zapis fonetyczny']",['9810535015805606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Trubadurzy,Trubadurzy,"['Poeci prowansalscy', '12-13 w.', 'Trobairitz', 'Truwerzy']",['Goliardzi'],['9810560605105606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q108393706,трубадури,Trubadurzy,Trubadurzy,Trubadurzy,Trubadurzy,Q108393706,sh85138082,3489,['Poeci francuscy'],,,,,,,
Nagrody literackie,Nagrody literackie,['Literackie nagrody'],,['9810599056105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Nagrody kulturalne', 'Chamisso-Poetikdozentur', 'Nagroda Księżnej Asturii']","['Gdyńska Nagroda Dramaturgiczna', 'Górnośląska Nagroda Literacka ""Juliusz""', 'Griffin Poetry Prize', 'Literacka Nagroda Europy Środkowej ""Angelus""', 'Literacka Nagroda Nobla', 'Lubuski Wawrzyn Literacki', 'Mainzer Stadtschreiber', 'Międzynarodowa Nagroda im. Witolda Pileckiego', 'Międzynarodowa Nagroda Literacka im. Zbigniewa Herberta', 'Międzynarodowa Nagroda Literacka im. Józefa Łobodowskiego', 'Nagroda Bookera', 'Nagroda Conrada', 'Nagroda Fandomu Polskiego im. Janusza A. Zajdla', 'Nagroda Goncourtów', 'Nagroda im. Akutagawy', 'Nagroda im. Anny Godlewskiej', 'Nagroda im. Ferdynanda Wańka', 'Nagroda im Józefa Łukaszewicza', 'Nagroda im. Karla Dedeciusa', 'Nagroda im. Kazimierza Wyki', 'Nagroda im. ks. prof. Bolesława Kumora', 'Nagroda Literacka Czterech Kolumn', 'Nagroda Literacka dla Autorki ""Gryfia""', 'Nagroda Literacka Fundacji Konrada Adenauera', 'Nagroda Literacka Gdynia', 'Nagroda Literacka im. Andrzeja K. Waśkiewicza', 'Nagroda Literacka im. Jarosława Zielińskiego ""Złota Róża""', 'Nagroda Literacka im. Juliana Tuwima', 'Nagroda Literacka im. Marka Nowakowskiego', 'Nagroda Literacka im. Witolda Gombrowicza', 'Nagroda Literacka im. Władysława Krygowskiego', 'Nagroda Literacka ""Koronacja słowa""', 'Nagroda Literacka ""Nike""', 'Nagroda Literacka Skrzydła Dedala', 'Nagroda literacka ""Wiadomości""', 'Nagroda ""Nowych Książek""', 'Nagroda ""Odry""', 'Nagroda Poetycka ""Kamień""', 'Nagroda Poetycka ""Orfeusz""', 'Nagroda Pulitzera', 'Nagroda Żółtej Ciżemki', 'Neustadt International Prize for Literature', 'Ogólnopolska Nagroda Poetycka im. Kazimiery Iłłakowiczówny za Najlepszy Debiut Poetycki Roku', 'Pomorska Nagroda Literacka ""Wiatr od morza""', 'Poznańska Nagroda Literacka', 'Transatlantyk (nagroda)', '""Wawrzyn"" Literacka Nagroda Warmii i Mazur', 'Zielonogórska Nagroda Literacka ""Winiarka""', 'Złote Pióro (nagroda Związku Literatów na Mazowszu)']",,,,,,
Naturalizm,Naturalizm,,,['9810599063905606'],Filozofia i etyka Literaturoznawstwo Kultura i sztuka,"['Filozofia i etyka', 'Literaturoznawstwo', 'Kultura i sztuka']",Literaturoznawstwo,http://www.wikidata.org/entity/Q56000,натуралізм,Naturalismus,naturalisme,naturalism,naturalizm,Q56000,sh85090269,28533,"['Style i kierunki artystyczne', 'Antynaturalizm', 'Bezreligijność']",,,,,,,
Nogajowie,Nogajowie,['Nogai (Turkic people)'],,['9810672285105606'],Etnologia i antropologia kulturowa Literaturoznawstwo,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q192616,Ногаї,Nogaier,Nogaïs,Nogais,Nogajowie,Q192616,sh85092173,,['Ludy tureckie'],,,,,,,
Orientalistyka,Orientalistyka,"['Filologia orientalna', 'Oriental philology']",,['9810554817605606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q476294,сходознавство,Orientalistik,études orientales,oriental studies,orientalistyka,Q476294,sh85008624,11898,"['Nauki humanistyczne', 'Filologia', 'Język riukiuański', 'Języki ałtajskie', 'Języki anatolijskie', 'Języki azjanickie', 'Języki chińsko-tybetańskie', 'Języki drawidyjskie', 'Języki indoirańskie', 'Języki kaukaskie', 'Języki mon-khmer', 'Języki paleoazjatyckie', 'Języki semito-chamickie', 'Kitabistyka', 'Mitologia arabska', 'Mitologia egipska', 'Orientaliści', 'Pismo dewanagari', 'Pismo dongba', 'Pismo egipskie', 'Pismo japońskie', 'Pismo klinowe', 'Pismo koreańskie', 'Pismo śarada', 'Pismo sojombo', 'Pismo tajskie', 'Pismo tybetańskie', 'Studia azjatyckie']","['Archeologia orientalna', 'Filologia arabska', 'Filologia azerbejdżańska', 'Filologia baszkirska', 'Filologia chińska', 'Filologia etiopska', 'Filologia hebrajska', 'Filologia indyjska', 'Filologia irańska', 'Filologia japońska', 'Filologia mongolska', 'Filologia ormiańska', 'Filologia turecka', 'Islamistyka', 'Judaistyka']",,,,,,
Orientalizm,Orientalizm,['Orientalism'],"['Arabowie', 'Bałkanizm', 'Chinoiserie', 'Style i kierunki artystyczne', 'Sztuka']",['9810554818205606'],Literaturoznawstwo Kultura i sztuka Etnologia i antropologia kulturowa,"['Literaturoznawstwo', 'Kultura i sztuka', 'Etnologia i antropologia kulturowa']",Literaturoznawstwo,http://www.wikidata.org/entity/Q42865,орієнталізм,Orientalismus,orientalisme,Orientalism,Orientalizm,Q42865,sh99010610,13646,,,,,,,,
Oświecenie,Oświecenie,"['Aufklärung', 'Enlightenment', 'Siècle des Lumières']","['Absolutyzm oświecony', 'Encyklopedyści', 'Filozofia oświecenia', 'Iluminaci', 'Klasycyzm', 'Libertynizm', 'Prądy i kierunki literackie', 'Respublica literaria']",['9810554821505606'],Literaturoznawstwo Kultura i sztuka,"['Literaturoznawstwo', 'Kultura i sztuka']",Literaturoznawstwo,http://www.wikidata.org/entity/Q2512021,люм'єрство,Vordenker der Aufklärung,Lumières,lumières,oświecenie,Q2512021,,,,,,,,,,
Pisarstwo,Pisarstwo,,,['9810693578905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q19157931,,,,,Pisarstwo,Q19157931,,,"['Sztuka pisania', 'Ghostwriting', 'Improwizacja literacka', 'Kompozycja (literatura)', 'Pisarze', 'Twórczość']","['Kreatywne pisanie', 'Retelling']",,,,,,
